listing_id,seller_id,buyer_id,category,item_price,shipping_price,listing_age_days,views,likes,add_to_cart,purchased,seller_rating,buyer_returning,region,add_to_cart_invalid_flag,purchased_invalid_flag,buyer_returning_invalid_flag,add_to_cart_clean,purchased_clean,buyer_returning_clean,seller_rating_missing_flag,item_price_invalid_flag,views_invalid_flag,listing_age_days_invalid_flag,likes_invalid_flag,seller_rating_invalid_flag
1,103,217,accessories,20.65,3.49,30,6,1,0,1,4.84,yes,Other,False,False,False,0,1,1,False,False,False,False,False,False
2,180,689,electronics,13.6,3.49,6,32,6,0,0,4.22,yes,Pärnu,False,False,False,0,0,1,False,False,False,False,False,False
3,93,461,accessories,112.13,4.99,3,18,3,0,0,5.0,yes,Pärnu,False,False,False,0,0,1,False,False,False,False,False,False
4,15,610,clothing,21.69,5.99,10,24,5,0,0,5.0,yes,Narva,False,False,False,0,0,1,False,False,False,False,False,False
5,107,105,shoes,26.74,2.99,19,26,4,0,0,4.78,yes,Other,False,False,False,0,0,1,False,False,False,False,False,False
6,72,99,clothing,36.09,2.49,9,44,2,1,0,3.87,no,Other,False,False,False,1,0,0,False,False,False,False,False,False
7,189,511,clothing,25.29,2.49,1,64,2,0,0,4.4,no,Narva,False,False,False,0,0,0,False,False,False,False,False,False
8,21,385,home,80.36,5.99,16,34,3,1,0,4.81,no,Other,False,False,False,1,0,0,False,False,False,False,False,False
9,103,405,clothing,15.87,4.99,42,22,4,0,0,,yes,Tallinn,False,False,False,0,0,1,True,False,False,False,False,False
10,122,518,shoes,28.11,4.99,9,31,5,0,0,5.0,no,Pärnu,False,False,False,0,0,0,False,False,False,False,False,False
11,211,476,bags,14.59,5.99,4,22,6,0,0,4.81,no,Pärnu,False,False,False,0,0,0,False,False,False,False,False,False
12,215,645,accessories,9.74,4.99,11,56,6,0,0,,yes,Pärnu,False,False,False,0,0,1,True,False,False,False,False,False
13,75,437,bags,15.99,2.49,1,80,6,0,0,4.61,no,Tartu,False,False,False,0,0,0,False,False,False,False,False,False
14,203,23,clothing,23.9,2.49,31,68,2,0,0,4.29,no,Tallinn,False,False,False,0,0,0,False,False,False,False,False,False
15,88,565,clothing,18.16,2.99,32,179,2,1,0,4.54,no,Tallinn,False,False,False,1,0,0,False,False,False,False,False,False
16,117,677,shoes,15.11,5.99,16,233,5,1,0,4.41,yes,Narva,False,False,False,1,0,1,False,False,False,False,False,False
17,100,458,clothing,9.17,3.49,8,10,4,0,0,5.0,yes,Tartu,False,False,False,0,0,1,False,False,False,False,False,False
18,104,83,shoes,23.15,3.49,29,22,3,1,0,5.0,no,Other,False,False,False,1,0,0,False,False,False,False,False,False
19,152,145,clothing,8.56,2.99,15,287,3,0,0,4.1,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
20,131,85,clothing,41.76,2.99,31,29,5,0,0,3.93,no,Tartu,False,False,False,0,0,0,False,False,False,False,False,False
21,150,78,shoes,25.99,4.99,18,37,1,1,0,4.51,no,Tartu,False,False,False,1,0,0,False,False,False,False,False,False
22,53,457,clothing,8.84,2.99,28,8,3,0,1,4.07,no,Tallinn,False,False,False,0,1,0,False,False,False,False,False,False
23,2,1,bags,19.76,2.99,16,34,7,0,0,4.62,yes,Narva,False,False,False,0,0,1,False,False,False,False,False,False
24,88,51,accessories,14.49,3.49,10,171,5,0,0,4.86,no,Tartu,False,False,False,0,0,0,False,False,False,False,False,False
25,236,685,electronics,30.67,4.99,57,95,6,0,0,5.0,yes,Pärnu,False,False,False,0,0,1,False,False,False,False,False,False
26,158,446,clothing,62.7,2.99,14,17,5,0,0,,no,Tartu,False,False,False,0,0,0,True,False,False,False,False,False
27,38,449,clothing,6.6,2.99,17,21,4,0,0,4.53,no,Other,False,False,False,0,0,0,False,False,False,False,False,False
28,130,488,clothing,26.59,4.99,4,11,4,0,0,3.91,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
29,192,34,bags,21.93,5.99,18,14,4,0,1,,no,Other,False,False,False,0,1,0,True,False,False,False,False,False
30,188,348,accessories,39.25,4.99,15,5,5,0,0,4.62,yes,Narva,False,False,False,0,0,1,False,False,False,False,False,False
31,21,95,clothing,28.48,3.49,4,28,3,0,0,4.82,yes,Pärnu,False,False,False,0,0,1,False,False,False,False,False,False
32,161,72,home,14.49,5.99,1,117,5,0,0,4.35,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
33,204,551,clothing,19.62,2.49,17,41,5,0,0,4.45,yes,Tartu,False,False,False,0,0,1,False,False,False,False,False,False
34,58,154,bags,14.05,4.99,26,102,0,0,0,4.08,yes,Pärnu,False,False,False,0,0,1,False,False,False,False,False,False
35,22,250,accessories,52.1,3.49,13,79,5,0,0,3.8,yes,Tartu,False,False,False,0,0,1,False,False,False,False,False,False
36,236,674,electronics,24.9,5.99,5,18,2,1,0,4.21,no,Narva,False,False,False,1,0,0,False,False,False,False,False,False
37,89,438,accessories,92.84,4.99,20,15,6,0,0,4.05,no,Tallinn,False,False,False,0,0,0,False,False,False,False,False,False
38,49,118,electronics,23.51,2.99,2,16,4,0,0,4.72,no,Narva,False,False,False,0,0,0,False,False,False,False,False,False
39,219,306,clothing,14.94,4.99,10,6,3,0,0,4.42,yes,Narva,False,False,False,0,0,1,False,False,False,False,False,False
40,59,268,electronics,8.5,2.49,3,31,5,0,1,4.41,no,Narva,False,False,False,0,1,0,False,False,False,False,False,False
41,170,54,clothing,6.94,4.99,4,2,7,1,0,4.26,no,Narva,False,False,False,1,0,0,False,False,False,False,False,False
42,220,236,home,8.09,5.99,4,51,4,0,0,3.47,yes,Tartu,False,False,False,0,0,1,False,False,False,False,False,False
43,188,389,bags,29.58,5.99,9,32,2,0,0,5.0,no,Other,False,False,False,0,0,0,False,False,False,False,False,False
44,208,401,electronics,35.03,4.99,1,46,5,0,0,4.25,yes,Tartu,False,False,False,0,0,1,False,False,False,False,False,False
45,15,624,shoes,8.11,5.99,9,78,3,0,0,4.46,no,Pärnu,False,False,False,0,0,0,False,False,False,False,False,False
46,190,303,bags,45.9,2.99,13,36,0,0,0,,yes,Narva,False,False,False,0,0,1,True,False,False,False,False,False
47,190,207,shoes,17.49,4.99,12,130,3,0,1,4.94,yes,Pärnu,False,False,False,0,1,1,False,False,False,False,False,False
48,175,229,accessories,27.19,2.99,9,52,9,0,0,4.65,no,Tartu,False,False,False,0,0,0,False,False,False,False,False,False
