customer_id,region,acquisition_channel,employment_type,device_type,customer_tenure_months,monthly_income,income_band,credit_utilization_percent,debt_to_income_ratio,savings_balance,active_loan_amount,loan_term_months,installment_size,loan_to_income_ratio,financial_stress_score,app_sessions_per_week,avg_session_minutes,days_since_last_login,support_tickets_last_90d,autopay_enabled,number_of_products,promo_usage_rate,delinquency_flag,missed_payments_last_12m,avg_days_late,repayment_rate_percent,risk_band,engagement_band,utilization_band,savings_balance_missing_flag,monthly_income_invalid_flag,savings_balance_invalid_flag
1,Tallinn,referral,salaried,android,0,1721.98,lower_mid,9.25,0.13,967.52,1208.73,9,134.3,0.7,0.105,4,5.59,28,1,1,1,34.76,0,0,0.0,99.29,low_risk,medium_engagement,low_utilization,False,False,False
2,Other,referral,salaried,android,0,1903.02,mid,27.77,0.31,,780.48,3,260.16,0.41,0.146,6,4.2,9,1,1,1,33.87,0,0,0.0,99.12,low_risk,medium_engagement,low_utilization,True,False,False
3,Pärnu,organic,salaried,ios,4,1978.64,mid,43.32,0.38,,4946.15,12,412.18,2.5,0.428,3,7.08,2,1,0,1,50.37,0,2,5.7,85.83,medium_risk,medium_engagement,medium_utilization,True,False,False
4,Tartu,social,salaried,web,22,1958.7,mid,48.01,0.57,,1663.59,12,138.63,0.85,0.286,6,3.31,2,2,1,1,43.17,1,1,2.9,94.38,low_risk,medium_engagement,medium_utilization,True,False,False
5,Tallinn,paid_search,unemployed,web,33,518.66,low,32.54,0.38,61.9,586.37,12,48.86,1.13,0.264,8,6.34,10,0,0,1,63.65,0,0,0.0,98.1,low_risk,high_engagement,medium_utilization,False,False,False
6,Tallinn,paid_search,salaried,android,7,1619.97,lower_mid,21.68,0.25,1581.22,671.28,24,27.97,0.41,0.118,4,8.71,5,0,0,4,8.68,0,0,0.4,99.36,low_risk,medium_engagement,low_utilization,False,False,False
7,Tallinn,partner,salaried,android,12,1892.02,mid,48.53,0.35,607.32,923.16,12,76.93,0.49,0.205,2,6.75,3,1,1,2,12.94,0,2,3.9,83.86,low_risk,low_engagement,medium_utilization,False,False,False
8,Other,organic,salaried,android,17,1180.6,lower_mid,15.17,0.28,416.07,771.12,6,128.52,0.65,0.146,3,2.84,2,1,1,1,37.48,1,0,0.1,99.49,low_risk,medium_engagement,low_utilization,False,False,False
9,Tartu,referral,salaried,ios,43,1058.42,lower_mid,62.53,0.5,133.92,2643.08,3,881.03,2.5,0.497,1,8.5,1,1,1,2,55.15,0,1,5.8,91.59,medium_risk,low_engagement,medium_utilization,False,False,False
10,Pärnu,organic,salaried,ios,34,2173.32,mid,45.84,0.37,1341.55,1657.04,9,184.12,0.76,0.23,0,3.87,6,0,1,1,28.41,0,0,1.4,98.25,low_risk,low_engagement,medium_utilization,False,False,False
