account_id,industry,company_size,region,contract_type,subscription_plan,account_age_months,monthly_recurring_revenue,seat_count,seats_used_percent,weekly_active_users,feature_adoption_rate,avg_session_minutes,admin_logins_last_30d,onboarding_completion_percent,days_since_last_login,support_tickets_last_90d,nps_score,nps_band,account_health_score,health_band,churn_flag,renewal_probability,expansion_revenue,usage_band,revenue_band,login_recency_band
1,finance,mid_market,Europe,annual,business,18,919.86,33,85.16,8,45.96,26.74,1,38.63,6,1,31.0,passive,0.606,medium_health,0,82.44,147.57,medium_usage,high_mrr,active_0_7d
2,other,small,North America,monthly,starter,11,75.57,10,89.52,2,37.39,16.75,5,33.21,10,4,5.0,passive,0.544,medium_health,1,81.4,5.88,medium_usage,low_mrr,warming_8_30d
3,retail,mid_market,North America,monthly,starter,60,123.37,6,78.21,2,24.71,17.3,4,55.55,28,3,21.0,passive,0.502,medium_health,1,61.51,1.86,low_usage,mid_mrr,warming_8_30d
4,healthcare,mid_market,UK,annual,enterprise,4,2968.92,127,63.55,39,47.23,13.04,4,80.75,7,1,36.0,passive,0.657,medium_health,1,80.98,50.44,medium_usage,enterprise_mrr,active_0_7d
5,software,small,Europe,annual,enterprise,16,591.71,120,58.17,40,38.3,24.13,7,77.72,1,1,11.0,passive,0.574,medium_health,1,68.37,5.07,medium_usage,high_mrr,active_0_7d
6,software,enterprise,APAC,monthly,business,22,1496.27,37,48.76,9,18.28,19.9,1,40.05,9,3,38.0,passive,0.353,medium_health,1,59.64,56.5,low_usage,high_mrr,warming_8_30d
7,software,small,Europe,monthly,growth,31,305.8,21,51.07,3,13.61,15.27,2,40.86,15,1,5.0,passive,0.313,low_health,1,44.89,13.98,low_usage,mid_mrr,warming_8_30d
8,,small,APAC,annual,starter,9,39.73,7,82.26,2,20.11,22.82,3,47.23,0,1,30.0,passive,0.499,medium_health,1,70.22,0.19,low_usage,low_mrr,active_0_7d
9,retail,mid_market,Europe,monthly,growth,21,510.29,16,97.7,3,13.87,24.45,2,67.83,13,2,,,0.563,medium_health,0,56.0,264.42,low_usage,high_mrr,warming_8_30d
10,retail,small,Other,monthly,starter,7,39.57,5,98.44,1,28.13,19.3,2,53.26,2,2,15.0,passive,0.598,medium_health,0,87.98,7.87,low_usage,low_mrr,active_0_7d
11,software,mid_market,Other,annual,growth,10,297.43,15,67.85,6,55.96,22.47,5,69.2,2,1,59.0,promoter,0.702,high_health,0,69.14,97.94,medium_usage,mid_mrr,active_0_7d
12,other,mid_market,North America,annual,business,41,1051.4,35,54.25,12,21.68,21.81,4,57.09,18,2,,,0.434,medium_health,1,72.84,22.58,low_usage,high_mrr,warming_8_30d
13,education,enterprise,APAC,annual,starter,54,253.79,5,53.55,1,17.15,6.73,5,50.01,3,0,,,0.4,medium_health,1,83.36,16.26,low_usage,mid_mrr,active_0_7d
14,software,small,APAC,annual,growth,23,170.29,20,84.53,9,67.2,22.98,6,35.68,1,2,43.0,passive,0.711,high_health,1,84.98,15.13,medium_usage,mid_mrr,active_0_7d
15,software,small,North America,monthly,business,8,299.62,38,70.86,6,17.1,6.79,1,52.28,10,3,,,0.451,medium_health,0,78.22,128.85,low_usage,mid_mrr,warming_8_30d
16,software,mid_market,Europe,annual,growth,31,220.24,13,48.12,2,20.13,14.69,1,48.43,9,1,26.0,passive,0.374,medium_health,1,73.47,0.8,low_usage,mid_mrr,warming_8_30d
17,finance,small,North America,monthly,starter,0,143.76,6,85.47,1,31.67,19.35,4,38.66,18,2,47.0,passive,0.54,medium_health,0,73.87,10.21,low_usage,low_mrr,warming_8_30d
18,healthcare,small,APAC,annual,growth,2,123.67,9,27.4,1,15.9,3.35,2,41.12,54,0,31.0,passive,0.231,low_health,1,63.67,0.29,low_usage,mid_mrr,inactive_31_90d
19,finance,small,North America,monthly,starter,19,45.22,5,46.64,1,21.49,15.47,1,44.82,2,5,27.0,passive,0.372,medium_health,1,55.88,0.4,low_usage,low_mrr,active_0_7d
20,finance,small,North America,monthly,starter,6,70.45,8,73.79,2,25.51,15.99,3,54.37,42,1,12.0,passive,0.471,medium_health,0,61.02,6.68,low_usage,low_mrr,inactive_31_90d
21,retail,small,Europe,monthly,starter,54,50.52,6,78.98,2,25.14,16.11,4,52.7,21,2,12.0,passive,0.498,medium_health,0,78.57,19.82,low_usage,low_mrr,warming_8_30d
22,software,mid_market,Europe,monthly,growth,10,388.39,15,68.48,2,34.11,21.66,4,42.29,5,3,36.0,passive,0.505,medium_health,0,61.75,72.21,low_usage,mid_mrr,active_0_7d
23,finance,mid_market,APAC,annual,business,10,922.4,44,82.28,24,35.04,32.73,5,57.03,29,2,49.0,passive,0.589,medium_health,0,84.34,315.97,medium_usage,high_mrr,warming_8_30d
24,,small,Other,annual,growth,20,100.84,12,52.79,3,44.53,20.77,4,54.25,1,3,,,0.536,medium_health,0,74.01,38.2,medium_usage,mid_mrr,active_0_7d
25,finance,small,Europe,annual,starter,26,49.3,3,76.28,1,22.78,20.31,3,55.72,56,0,38.0,passive,0.477,medium_health,1,67.49,0.96,low_usage,low_mrr,inactive_31_90d
26,education,small,North America,annual,starter,12,51.3,6,86.87,1,32.25,8.8,3,54.45,24,1,51.0,promoter,0.589,medium_health,0,79.19,7.33,low_usage,low_mrr,warming_8_30d
27,software,mid_market,UK,monthly,enterprise,4,3444.41,128,65.96,38,19.82,25.74,3,49.35,6,2,48.0,passive,0.455,medium_health,0,68.62,565.42,low_usage,enterprise_mrr,active_0_7d
28,healthcare,small,Europe,annual,starter,27,33.71,6,75.41,1,36.96,16.26,2,34.97,18,6,,,0.499,medium_health,0,71.79,4.04,medium_usage,low_mrr,warming_8_30d
29,healthcare,mid_market,Europe,annual,growth,7,160.49,19,78.46,6,23.25,7.93,4,57.1,56,0,23.0,passive,0.48,medium_health,1,67.58,0.21,low_usage,mid_mrr,inactive_31_90d
30,software,small,North America,annual,business,3,424.39,35,30.46,6,28.1,7.99,1,52.9,8,0,28.0,passive,0.366,medium_health,0,85.34,101.43,low_usage,mid_mrr,warming_8_30d
31,retail,mid_market,Europe,monthly,enterprise,18,2988.07,142,85.0,60,58.02,13.44,8,74.93,8,2,60.0,promoter,0.783,high_health,0,75.81,1018.71,medium_usage,enterprise_mrr,warming_8_30d
32,software,small,North America,annual,starter,2,46.02,7,70.95,1,34.22,8.78,5,41.6,32,1,26.0,passive,0.485,medium_health,1,78.4,4.13,low_usage,low_mrr,inactive_31_90d
33,,mid_market,UK,annual,starter,64,108.86,2,74.98,1,42.51,27.16,6,67.97,8,2,56.0,promoter,0.651,medium_health,1,82.13,3.56,medium_usage,mid_mrr,warming_8_30d
34,other,small,Europe,monthly,starter,18,66.65,6,54.14,1,44.77,17.4,2,42.2,2,2,32.0,passive,0.507,medium_health,0,69.46,18.42,medium_usage,low_mrr,active_0_7d
35,other,mid_market,APAC,annual,starter,77,91.81,5,37.33,1,33.51,20.84,1,71.07,16,1,53.0,promoter,0.478,medium_health,0,78.64,15.55,low_usage,low_mrr,warming_8_30d
36,education,small,Europe,annual,growth,7,135.15,14,96.34,5,35.72,1.54,2,53.76,6,2,8.0,passive,0.621,medium_health,1,85.68,3.22,medium_usage,mid_mrr,active_0_7d
37,finance,mid_market,North America,monthly,starter,64,110.82,6,67.68,2,49.94,24.55,1,43.73,39,1,,,0.562,medium_health,0,68.55,34.21,medium_usage,mid_mrr,inactive_31_90d
38,software,mid_market,APAC,annual,starter,3,70.34,12,47.4,1,0.0,18.07,3,51.28,2,2,44.0,passive,0.3,low_health,0,76.26,17.83,low_usage,low_mrr,active_0_7d
39,retail,small,Europe,annual,starter,1,46.46,6,73.08,1,19.07,4.36,1,40.67,12,2,2.0,passive,0.415,medium_health,0,54.16,7.34,low_usage,low_mrr,warming_8_30d
40,finance,mid_market,North America,annual,enterprise,1,2581.75,121,73.11,26,38.04,10.31,3,77.27,21,2,57.0,promoter,0.639,medium_health,0,90.31,436.63,medium_usage,enterprise_mrr,warming_8_30d
41,software,mid_market,Europe,monthly,growth,11,581.36,16,63.63,3,27.51,24.79,2,56.77,35,2,,,0.472,medium_health,0,69.17,84.27,low_usage,high_mrr,inactive_31_90d
42,healthcare,small,North America,annual,starter,2,44.15,6,67.53,1,19.91,11.21,2,41.22,25,2,11.0,passive,0.398,medium_health,0,72.31,8.99,low_usage,low_mrr,warming_8_30d
43,software,small,APAC,monthly,enterprise,13,1287.01,112,49.72,23,52.77,23.61,2,46.66,43,0,26.0,passive,0.507,medium_health,0,54.7,586.99,medium_usage,high_mrr,inactive_31_90d
44,other,small,Europe,monthly,starter,7,67.58,7,68.25,1,18.72,16.63,1,36.56,23,1,25.0,passive,0.393,medium_health,0,69.75,21.44,low_usage,low_mrr,warming_8_30d
45,software,mid_market,UK,annual,growth,7,244.52,14,65.67,3,46.13,15.34,2,67.9,5,3,31.0,passive,0.621,medium_health,1,90.91,28.8,medium_usage,mid_mrr,active_0_7d
46,retail,mid_market,North America,annual,growth,18,530.55,16,70.5,6,29.93,17.78,1,37.26,27,4,43.0,passive,0.466,medium_health,0,66.96,75.48,low_usage,high_mrr,warming_8_30d
47,finance,small,Europe,annual,starter,3,90.85,6,44.38,1,23.57,3.34,4,52.64,14,0,38.0,passive,0.394,medium_health,0,76.56,18.7,low_usage,low_mrr,warming_8_30d
48,healthcare,small,Other,monthly,starter,26,48.51,6,60.19,1,38.0,19.59,5,42.92,20,2,14.0,passive,0.471,medium_health,1,47.09,4.08,medium_usage,low_mrr,warming_8_30d
49,healthcare,mid_market,APAC,monthly,growth,16,271.4,12,48.4,3,36.91,9.08,4,40.71,6,3,,,0.433,medium_health,0,59.3,42.95,medium_usage,mid_mrr,active_0_7d
50,software,enterprise,North America,annual,business,44,3525.9,30,41.24,10,43.44,7.99,1,67.22,58,3,30.0,passive,0.48,medium_health,0,65.52,690.55,medium_usage,enterprise_mrr,inactive_31_90d
51,other,small,North America,monthly,starter,8,64.73,3,81.76,1,49.42,10.42,3,49.5,14,3,44.0,passive,0.644,medium_health,1,81.17,1.32,medium_usage,low_mrr,warming_8_30d
52,education,enterprise,North America,annual,business,73,2053.06,45,83.06,20,51.66,16.85,5,66.12,24,0,,,0.704,high_health,0,84.63,746.39,medium_usage,enterprise_mrr,warming_8_30d
53,other,small,Europe,annual,starter,15,80.74,10,56.86,1,11.33,17.42,1,48.8,46,1,39.0,passive,0.344,medium_health,0,81.22,25.3,low_usage,low_mrr,inactive_31_90d
54,other,small,UK,annual,starter,65,77.8,4,75.06,1,36.74,10.88,1,62.38,13,1,45.0,passive,0.597,medium_health,0,79.61,29.44,medium_usage,low_mrr,warming_8_30d
55,healthcare,mid_market,UK,monthly,starter,0,95.83,5,56.27,1,10.06,21.95,3,46.78,22,0,48.0,passive,0.354,medium_health,1,55.31,4.2,low_usage,low_mrr,warming_8_30d
56,other,small,Europe,annual,business,23,435.29,32,75.93,14,48.97,27.62,7,67.36,32,1,12.0,passive,0.635,medium_health,0,77.89,144.22,medium_usage,mid_mrr,inactive_31_90d
57,software,small,APAC,annual,growth,31,182.33,14,71.96,4,27.81,22.92,0,40.92,5,4,11.0,passive,0.466,medium_health,0,58.05,31.25,low_usage,mid_mrr,active_0_7d
58,software,small,Europe,monthly,starter,1,49.5,4,88.5,1,39.39,29.61,2,41.7,5,0,27.0,passive,0.592,medium_health,0,80.06,2.9,medium_usage,low_mrr,active_0_7d
59,software,mid_market,North America,monthly,business,16,539.48,28,63.17,9,53.32,22.59,3,60.87,27,3,44.0,passive,0.62,medium_health,1,67.23,26.33,medium_usage,high_mrr,warming_8_30d
60,finance,mid_market,Europe,monthly,starter,29,77.62,6,70.65,1,37.27,21.52,1,64.62,6,0,,,0.598,medium_health,0,65.58,33.55,medium_usage,low_mrr,active_0_7d
61,finance,small,Other,monthly,growth,15,92.62,16,49.32,3,27.59,13.14,8,43.21,4,2,,,0.42,medium_health,0,43.2,55.57,low_usage,low_mrr,active_0_7d
62,software,small,UK,annual,growth,1,177.06,17,81.29,3,37.86,2.59,3,65.27,1,2,45.0,passive,0.641,medium_health,0,84.85,55.67,medium_usage,mid_mrr,active_0_7d
63,education,small,Europe,annual,growth,21,98.44,20,35.9,4,28.89,17.87,3,42.22,8,3,27.0,passive,0.359,medium_health,1,76.83,6.17,low_usage,low_mrr,warming_8_30d
64,finance,small,Europe,annual,growth,1,159.38,19,16.12,2,18.13,5.72,2,33.01,39,1,,,0.181,low_health,0,66.47,22.26,low_usage,mid_mrr,inactive_31_90d
65,finance,small,APAC,monthly,starter,31,93.04,8,71.55,2,51.08,8.98,3,69.28,5,1,49.0,passive,0.682,high_health,1,71.61,8.86,medium_usage,low_mrr,active_0_7d
66,healthcare,mid_market,Europe,annual,business,1,1446.84,43,32.94,6,35.14,8.5,2,51.11,81,2,7.0,passive,0.333,medium_health,0,70.87,437.02,medium_usage,high_mrr,inactive_31_90d
67,software,small,North America,monthly,starter,3,25.76,10,78.58,2,66.89,21.97,8,68.32,0,2,19.0,passive,0.763,high_health,0,81.64,3.93,medium_usage,low_mrr,active_0_7d
68,education,small,Other,annual,starter,6,31.32,5,91.45,2,14.09,24.44,2,70.05,4,3,6.0,passive,0.545,medium_health,0,79.57,13.44,low_usage,low_mrr,active_0_7d
69,software,small,APAC,annual,business,18,304.05,41,67.64,14,58.75,20.89,5,73.11,12,1,49.0,passive,0.711,high_health,0,77.66,77.33,medium_usage,mid_mrr,warming_8_30d
70,other,small,North America,annual,starter,67,32.55,9,67.77,4,62.72,13.65,3,61.89,22,2,16.0,passive,0.669,high_health,1,86.51,1.13,medium_usage,low_mrr,warming_8_30d
71,education,enterprise,Europe,annual,enterprise,2,3363.31,139,90.67,44,36.75,18.61,4,78.88,11,1,26.0,passive,0.685,high_health,0,84.08,376.67,medium_usage,enterprise_mrr,warming_8_30d
72,software,small,Europe,annual,starter,3,48.81,6,66.77,1,29.48,25.61,5,66.85,1,1,37.0,passive,0.549,medium_health,0,72.21,16.09,low_usage,low_mrr,active_0_7d
73,software,small,North America,annual,starter,8,62.72,8,77.23,1,20.9,13.08,1,29.28,9,2,20.0,passive,0.422,medium_health,0,82.83,16.95,low_usage,low_mrr,warming_8_30d
74,education,small,Other,annual,starter,33,68.42,10,67.85,2,25.91,14.23,5,61.99,31,2,22.0,passive,0.488,medium_health,0,73.81,22.03,low_usage,low_mrr,inactive_31_90d
75,retail,small,Europe,monthly,growth,11,126.2,14,43.75,3,24.91,24.84,5,59.43,2,0,-6.0,detractor,0.396,medium_health,0,59.67,29.64,low_usage,mid_mrr,active_0_7d
76,retail,small,APAC,annual,starter,7,44.55,7,70.1,1,68.45,30.36,3,30.06,12,2,48.0,passive,0.646,medium_health,0,63.62,8.64,medium_usage,low_mrr,warming_8_30d
77,education,small,North America,monthly,starter,15,55.5,3,83.6,1,33.4,15.74,4,55.73,16,3,45.0,passive,0.589,medium_health,0,83.58,15.58,low_usage,low_mrr,warming_8_30d
78,software,small,Europe,monthly,starter,5,47.17,9,16.69,1,22.88,3.98,0,40.82,102,2,21.0,passive,0.183,low_health,1,65.9,1.69,low_usage,low_mrr,dormant_90d_plus
79,finance,small,North America,monthly,growth,9,197.88,22,74.07,10,46.2,20.05,6,49.48,3,1,52.0,promoter,0.616,medium_health,0,68.0,72.13,medium_usage,mid_mrr,active_0_7d
80,software,small,UK,annual,starter,7,56.97,7,85.16,1,23.83,13.28,2,52.19,50,4,46.0,passive,0.513,medium_health,0,78.92,23.57,low_usage,low_mrr,inactive_31_90d
81,other,small,Europe,monthly,growth,29,130.61,10,67.72,2,23.9,27.49,2,54.57,9,1,,,0.481,medium_health,0,72.82,27.3,low_usage,mid_mrr,warming_8_30d
82,retail,enterprise,Europe,monthly,growth,46,388.99,13,47.22,2,40.73,9.07,2,50.83,1,1,,,0.469,medium_health,0,58.22,39.47,medium_usage,mid_mrr,active_0_7d
83,finance,small,North America,annual,starter,26,82.8,6,87.97,2,41.1,14.07,5,70.15,27,0,56.0,promoter,0.681,high_health,1,89.62,2.78,medium_usage,low_mrr,warming_8_30d
84,software,small,North America,annual,starter,10,38.54,7,57.72,1,8.49,14.09,4,38.92,2,3,3.0,passive,0.314,low_health,0,70.72,12.84,low_usage,low_mrr,active_0_7d
85,finance,small,North America,annual,business,13,452.19,25,94.09,6,39.57,22.83,5,64.05,2,2,36.0,passive,0.683,high_health,0,80.22,115.83,medium_usage,mid_mrr,active_0_7d
86,finance,small,North America,monthly,starter,2,25.05,1,90.5,0,33.47,10.55,2,61.74,0,0,34.0,passive,0.635,medium_health,1,63.72,0.31,low_usage,low_mrr,active_0_7d
87,retail,mid_market,Europe,monthly,starter,25,107.37,5,83.67,1,37.7,21.99,4,56.76,9,0,63.0,promoter,0.631,medium_health,1,86.53,1.86,medium_usage,mid_mrr,warming_8_30d
88,retail,small,Europe,monthly,growth,16,154.32,13,46.58,4,16.35,14.57,4,54.39,4,1,50.0,passive,0.388,medium_health,0,61.38,35.13,low_usage,mid_mrr,active_0_7d
89,other,mid_market,Europe,monthly,growth,42,345.3,18,89.6,6,39.87,10.4,3,54.65,3,3,55.0,promoter,0.655,medium_health,0,69.27,148.29,medium_usage,mid_mrr,active_0_7d
90,healthcare,small,Europe,monthly,growth,4,427.85,15,54.81,1,10.5,9.32,2,57.92,36,0,50.0,passive,0.373,medium_health,0,50.11,15.69,low_usage,mid_mrr,inactive_31_90d
91,software,small,North America,annual,starter,26,39.29,4,38.84,1,8.86,6.24,1,51.14,12,1,24.0,passive,0.292,low_health,0,76.15,8.42,low_usage,low_mrr,warming_8_30d
92,retail,mid_market,North America,monthly,growth,21,436.87,16,87.28,5,45.48,12.07,5,56.03,8,0,34.0,passive,0.66,medium_health,0,77.35,197.22,medium_usage,mid_mrr,warming_8_30d
93,education,small,North America,monthly,starter,6,58.85,7,83.61,1,25.33,28.66,1,53.83,26,2,51.0,promoter,0.541,medium_health,0,70.56,4.97,low_usage,low_mrr,warming_8_30d
94,healthcare,small,APAC,monthly,starter,20,38.64,6,33.3,0,21.0,14.39,1,56.03,10,1,44.0,passive,0.36,medium_health,0,60.86,16.13,low_usage,low_mrr,warming_8_30d
95,education,small,Europe,monthly,growth,46,197.54,17,29.46,4,17.41,22.9,5,49.12,2,2,35.0,passive,0.31,low_health,1,61.27,2.98,low_usage,mid_mrr,active_0_7d
96,healthcare,mid_market,North America,monthly,business,45,828.74,39,59.5,11,38.21,16.71,3,45.81,2,1,39.0,passive,0.508,medium_health,1,69.93,37.76,medium_usage,high_mrr,active_0_7d
97,,small,North America,monthly,starter,23,66.56,9,83.57,1,30.34,19.91,3,52.94,7,1,49.0,passive,0.576,medium_health,0,66.06,8.34,low_usage,low_mrr,active_0_7d
98,finance,mid_market,APAC,annual,enterprise,1,5244.16,103,80.88,18,33.57,11.79,2,44.19,22,1,23.0,passive,0.529,medium_health,0,64.88,566.4,low_usage,enterprise_mrr,warming_8_30d
99,software,small,UK,monthly,starter,37,51.66,7,50.34,1,29.11,26.52,6,38.17,15,0,42.0,passive,0.404,medium_health,1,57.99,3.06,low_usage,low_mrr,warming_8_30d
100,software,mid_market,Europe,monthly,growth,19,297.08,10,42.95,3,29.39,15.41,4,26.6,33,0,31.0,passive,0.326,low_health,0,61.26,126.7,low_usage,mid_mrr,inactive_31_90d
101,software,small,Europe,monthly,growth,7,215.29,27,83.51,6,27.61,12.9,3,56.53,3,1,41.0,passive,0.57,medium_health,0,69.76,168.21,low_usage,mid_mrr,active_0_7d
102,retail,mid_market,North America,monthly,business,4,1431.17,34,56.59,10,63.37,12.51,5,67.52,9,0,,,0.685,high_health,0,58.74,244.74,medium_usage,high_mrr,warming_8_30d
103,finance,small,Other,monthly,starter,2,35.97,3,96.11,1,30.14,9.53,0,34.98,29,3,-15.0,detractor,0.508,medium_health,0,53.45,4.85,low_usage,low_mrr,warming_8_30d
104,healthcare,enterprise,UK,monthly,enterprise,1,5120.36,118,72.66,27,24.3,11.09,3,62.41,19,0,56.0,promoter,0.531,medium_health,1,70.24,290.48,low_usage,enterprise_mrr,warming_8_30d
105,other,small,North America,monthly,starter,25,62.07,11,71.96,4,9.64,28.03,2,67.96,5,0,22.0,passive,0.46,medium_health,0,70.81,6.81,low_usage,low_mrr,active_0_7d
106,software,small,APAC,annual,growth,5,142.27,17,86.45,6,52.18,17.41,3,61.14,5,1,53.0,promoter,0.719,high_health,1,76.85,5.51,medium_usage,mid_mrr,active_0_7d
107,finance,small,UK,monthly,growth,0,106.69,11,79.74,2,14.83,15.27,3,52.44,8,3,,,0.475,medium_health,0,56.8,38.21,low_usage,mid_mrr,warming_8_30d
108,education,small,North America,monthly,growth,9,180.04,11,65.8,3,32.05,36.66,3,56.48,0,2,29.0,passive,0.524,medium_health,0,66.54,64.61,low_usage,mid_mrr,active_0_7d
109,software,small,Europe,monthly,starter,12,61.98,3,80.38,1,14.5,25.84,6,35.97,3,1,34.0,passive,0.434,medium_health,0,56.2,13.52,low_usage,low_mrr,active_0_7d
110,software,enterprise,North America,monthly,enterprise,3,5337.32,124,39.59,28,35.49,10.28,3,69.46,7,1,31.0,passive,0.482,medium_health,0,76.07,1158.15,medium_usage,enterprise_mrr,active_0_7d
111,finance,enterprise,North America,monthly,enterprise,1,6130.23,123,37.93,18,27.76,23.68,0,45.73,22,3,44.0,passive,0.371,medium_health,0,66.48,1136.98,low_usage,enterprise_mrr,warming_8_30d
112,software,small,UK,monthly,starter,4,40.05,7,62.37,0,17.61,9.86,1,33.85,20,0,,,0.354,medium_health,1,78.35,1.32,low_usage,low_mrr,warming_8_30d
113,other,enterprise,North America,monthly,business,20,1359.76,32,89.66,13,40.97,18.89,7,52.45,71,2,27.0,passive,0.583,medium_health,0,57.57,600.92,medium_usage,high_mrr,inactive_31_90d
