customer_id,region,income_band,employment_type,monthly_income,loan_balance,monthly_payment,loan_to_income_ratio,credit_utilization_percent,risk_score,risk_tier,missed_payments_last_6m,days_late_average,missed_payment_last_30d,prior_delinquency_flag,current_delinquency_flag,autopay_enabled,support_contact_last_30d,hardship_program_enrolled,intervention_group,repayment_plan_type,payment_recovery_flag,repayment_probability_score,autopay_enabled_invalid_flag,missed_payment_last_30d_invalid_flag,prior_delinquency_flag_invalid_flag,current_delinquency_flag_invalid_flag,hardship_program_enrolled_invalid_flag,payment_recovery_flag_invalid_flag,support_contact_last_30d_invalid_flag,autopay_enabled_clean,missed_payment_last_30d_clean,prior_delinquency_flag_clean,current_delinquency_flag_clean,hardship_program_enrolled_clean,payment_recovery_flag_clean,support_contact_last_30d_clean,employment_type_missing_flag,monthly_income_missing_flag,monthly_income_invalid_flag,loan_balance_invalid_flag,monthly_payment_invalid_flag,loan_to_income_ratio_invalid_flag,credit_utilization_percent_invalid_flag,missed_payments_last_6m_invalid_flag,days_late_average_invalid_flag,risk_score_invalid_flag,repayment_probability_score_invalid_flag
1,Tallinn,low,salaried,917.92,5752.31,159.79,6.27,31.5,0.639,medium_risk,4,1.3,0,1,0,0,0,0,hardship_outreach,standard,0,0.572,False,False,False,False,False,False,False,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
2,Other,lower_mid,salaried,2300.01,3719.76,309.98,1.62,26.13,0.371,low_risk,1,6.1,0,0,0,1,0,0,none,standard,1,0.773,False,False,False,False,False,False,False,1,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
3,Narva,mid,self_employed,2257.38,2615.38,217.95,1.16,43.19,0.285,low_risk,0,3.5,0,0,0,1,0,0,none,standard,1,0.812,False,False,False,False,False,False,False,1,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
4,Tartu,mid,salaried,1362.66,1378.84,114.9,1.01,5.92,0.209,low_risk,0,9.7,0,0,0,0,1,0,none,restructured,1,0.766,False,False,False,False,False,False,False,0,0,0,0,0,1,1,False,False,False,False,False,False,False,False,False,False,False
5,Tallinn,lower_mid,gig_worker,954.45,1516.4,42.12,1.59,78.26,0.454,medium_risk,2,2.5,0,0,0,0,0,0,sms_reminder,standard,1,0.656,False,False,False,False,False,False,False,0,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
6,Tallinn,lower_mid,student,2391.28,2652.86,221.07,1.11,70.32,0.409,low_risk,0,6.4,0,0,0,0,0,1,sms_reminder,restructured,0,0.676,False,False,False,False,False,False,False,0,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False
7,Tallinn,mid,salaried,1721.46,2504.45,208.7,1.45,71.65,0.286,low_risk,1,2.8,0,0,0,1,1,0,none,standard,1,0.811,False,False,False,False,False,False,False,1,0,0,0,0,1,1,False,False,False,False,False,False,False,False,False,False,False
8,Other,low,self_employed,702.55,1999.44,83.31,2.85,43.38,0.466,medium_risk,0,6.7,0,0,1,1,0,0,none,restructured,0,0.55,False,False,False,False,False,False,False,1,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False
9,Tartu,lower_mid,salaried,,5612.89,311.83,2.5,10.82,0.365,low_risk,1,4.0,0,0,0,0,0,0,none,standard,0,0.696,False,False,False,False,False,False,False,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False
10,Narva,lower_mid,unemployed,1934.84,6221.08,518.42,3.22,29.57,0.415,low_risk,2,3.2,0,0,0,1,1,0,repayment_call,standard,1,0.753,False,False,False,False,False,False,False,1,0,0,0,0,1,1,False,False,False,False,False,False,False,False,False,False,False
