user_id,signup_date,acquisition_channel,region,company_size,industry,experiment_group,experiment_eligibility_flag,assignment_valid_flag,exposure_days,low_exposure_flag,onboarding_completion_flag,activation_flag,retained_30d,retained_60d,churn_30d,upgrade_flag,expansion_revenue_flag,negative_feedback_flag,sessions_first_14d,feature_adoption_count,support_tickets_first_30d,time_to_activation_days,monthly_subscription_value,subscription_value_band,engagement_band,feature_adoption_band,experiment_eligibility_flag_invalid_flag,assignment_valid_flag_invalid_flag,low_exposure_flag_invalid_flag,onboarding_completion_flag_invalid_flag,activation_flag_invalid_flag,retained_30d_invalid_flag,retained_60d_invalid_flag,churn_30d_invalid_flag,upgrade_flag_invalid_flag,expansion_revenue_flag_invalid_flag,negative_feedback_flag_invalid_flag,experiment_eligibility_flag_clean,assignment_valid_flag_clean,low_exposure_flag_clean,onboarding_completion_flag_clean,activation_flag_clean,retained_30d_clean,retained_60d_clean,churn_30d_clean,upgrade_flag_clean,expansion_revenue_flag_clean,negative_feedback_flag_clean,acquisition_channel_missing_flag,company_size_missing_flag,time_to_activation_days_missing_flag,exposure_days_invalid_flag,sessions_first_14d_invalid_flag,feature_adoption_count_invalid_flag,support_tickets_first_30d_invalid_flag,time_to_activation_days_invalid_flag,monthly_subscription_value_invalid_flag
1,2026-02-21,organic,North America,small,education,treatment,1,1,26,0,1,1,0,1,1,1,0,0,14,1,2,5.2,58.54,mid_value,high_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,0,1,1,1,0,0,False,False,False,False,False,False,False,False,False
2,2026-01-15,direct,APAC,solo,other,treatment,1,0,3,1,0,0,0,0,1,0,0,0,9,5,2,,30.62,low_value,high_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,0,1,0,0,0,0,1,0,0,0,False,False,True,False,False,False,False,False,False
3,2026-03-13,partner,Europe,solo,retail,treatment,1,1,25,0,1,0,0,0,1,0,0,0,3,3,2,,30.71,low_value,low_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,0,0,0,1,0,0,0,False,False,True,False,False,False,False,False,False
4,2026-03-02,paid_social,North America,solo,retail,control,1,1,24,0,0,0,0,0,1,1,1,0,2,1,0,,31.47,low_value,low_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,0,0,1,1,1,0,False,False,True,False,False,False,False,False,False
5,2026-01-21,organic,Europe,mid_market,software,treatment,1,1,28,0,0,1,1,1,0,0,0,0,14,9,2,7.1,265.2,high_value,high_engagement,broad_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False
6,2026-03-24,organic,North America,solo,software,control,1,1,29,0,1,1,1,0,0,1,0,0,12,4,1,2.7,28.76,low_value,high_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,1,0,0,1,0,0,False,False,False,False,False,False,False,False,False
7,2026-03-28,paid_search,Other,small,software,control,1,1,29,0,1,0,1,1,0,0,0,0,3,2,0,,52.72,mid_value,low_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,0,1,1,0,0,0,0,False,False,True,False,False,False,False,False,False
8,2026-03-16,paid_search,Europe,solo,software,control,1,1,24,0,0,0,1,1,0,0,0,1,8,2,0,,19.87,low_value,moderate_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,1,1,0,0,0,1,False,False,True,False,False,False,False,False,False
9,2026-03-16,paid_search,UK,mid_market,education,control,1,1,29,0,0,0,1,0,0,0,1,0,4,4,1,,218.0,high_value,moderate_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,1,0,0,0,1,0,False,False,True,False,False,False,False,False,False
10,2026-03-29,organic,UK,mid_market,finance,treatment,1,1,22,0,1,0,1,1,0,0,0,0,5,2,0,,332.37,high_value,moderate_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,0,1,1,0,0,0,0,False,False,True,False,False,False,False,False,False
