continuous_variable,outcome_variable,correlation,absolute_correlation,n
sessions_first_14d,activation_flag,0.593,0.593,10000
feature_adoption_count,activation_flag,0.3442,0.3442,10000
sessions_first_14d,churn_30d,-0.1497,0.1497,10000
sessions_first_14d,retained_30d,0.1497,0.1497,10000
sessions_first_14d,retained_60d,0.1389,0.1389,10000
support_tickets_first_30d,activation_flag,0.1193,0.1193,10000
feature_adoption_count,retained_30d,0.1113,0.1113,10000
feature_adoption_count,churn_30d,-0.1113,0.1113,10000
feature_adoption_count,retained_60d,0.0969,0.0969,10000
sessions_first_14d,upgrade_flag,0.0847,0.0847,10000
support_tickets_first_30d,negative_feedback_flag,0.0517,0.0517,10000
feature_adoption_count,upgrade_flag,0.0515,0.0515,10000
monthly_subscription_value,activation_flag,0.0512,0.0512,10000
monthly_subscription_value,churn_30d,-0.0363,0.0363,10000
monthly_subscription_value,retained_30d,0.0363,0.0363,10000
support_tickets_first_30d,retained_30d,0.0275,0.0275,10000
support_tickets_first_30d,churn_30d,-0.0275,0.0275,10000
support_tickets_first_30d,upgrade_flag,0.0221,0.0221,10000
monthly_subscription_value,upgrade_flag,0.022,0.022,10000
monthly_subscription_value,negative_feedback_flag,-0.0197,0.0197,10000
monthly_subscription_value,retained_60d,0.0192,0.0192,10000
exposure_days,negative_feedback_flag,0.0172,0.0172,10000
exposure_days,retained_60d,0.0165,0.0165,10000
support_tickets_first_30d,retained_60d,0.0117,0.0117,10000
time_to_activation_days,upgrade_flag,0.0112,0.0112,5190
time_to_activation_days,churn_30d,0.0073,0.0073,5190
time_to_activation_days,retained_30d,-0.0073,0.0073,5190
exposure_days,upgrade_flag,0.0065,0.0065,10000
time_to_activation_days,retained_60d,-0.0063,0.0063,5190
exposure_days,retained_30d,0.0048,0.0048,10000
exposure_days,churn_30d,-0.0048,0.0048,10000
time_to_activation_days,negative_feedback_flag,-0.0036,0.0036,5190
exposure_days,activation_flag,0.0022,0.0022,10000
feature_adoption_count,negative_feedback_flag,-0.0013,0.0013,10000
sessions_first_14d,negative_feedback_flag,0.0011,0.0011,10000
time_to_activation_days,activation_flag,,,5190
