target,variable,method,correlation,abs_correlation,n
account_health_score,feature_adoption_rate,spearman,0.799,0.799,6000
account_health_score,seats_used_percent,spearman,0.707,0.707,6000
account_health_score,onboarding_completion_percent,spearman,0.61,0.61,6000
account_health_score,renewal_probability,spearman,0.484,0.484,6000
account_health_score,renewal_probability,spearman,0.484,0.484,6000
account_health_score,weekly_active_users,spearman,0.464,0.464,6000
account_health_score,nps_score,spearman,0.408,0.408,4982
account_health_score,admin_logins_last_30d,spearman,0.367,0.367,6000
account_health_score,expansion_revenue,spearman,0.296,0.296,6000
account_health_score,avg_session_minutes,spearman,0.269,0.269,6000
account_health_score,seat_count,spearman,0.25,0.25,6000
account_health_score,monthly_recurring_revenue,spearman,0.241,0.241,6000
account_health_score,days_since_last_login,spearman,-0.152,0.152,6000
account_health_score,churn_flag,spearman,-0.105,0.105,6000
account_health_score,support_tickets_last_90d,spearman,-0.093,0.093,6000
churn_flag,expansion_revenue,spearman,-0.558,0.558,6000
churn_flag,account_health_score,spearman,-0.105,0.105,6000
churn_flag,account_health_score,spearman,-0.105,0.105,6000
churn_flag,onboarding_completion_percent,spearman,-0.097,0.097,6000
churn_flag,feature_adoption_rate,spearman,-0.09,0.09,6000
churn_flag,renewal_probability,spearman,-0.087,0.087,6000
churn_flag,renewal_probability,spearman,-0.087,0.087,6000
churn_flag,weekly_active_users,spearman,-0.064,0.064,6000
churn_flag,seats_used_percent,spearman,-0.055,0.055,6000
churn_flag,nps_score,spearman,-0.054,0.054,4982
churn_flag,monthly_recurring_revenue,spearman,-0.044,0.044,6000
churn_flag,seat_count,spearman,-0.038,0.038,6000
churn_flag,avg_session_minutes,spearman,-0.031,0.031,6000
churn_flag,admin_logins_last_30d,spearman,-0.028,0.028,6000
churn_flag,days_since_last_login,spearman,-0.007,0.007,6000
churn_flag,support_tickets_last_90d,spearman,0.003,0.003,6000
renewal_probability,account_health_score,spearman,0.484,0.484,6000
renewal_probability,account_health_score,spearman,0.484,0.484,6000
renewal_probability,onboarding_completion_percent,spearman,0.448,0.448,6000
renewal_probability,feature_adoption_rate,spearman,0.347,0.347,6000
renewal_probability,seats_used_percent,spearman,0.313,0.313,6000
renewal_probability,weekly_active_users,spearman,0.26,0.26,6000
renewal_probability,nps_score,spearman,0.195,0.195,4982
renewal_probability,expansion_revenue,spearman,0.19,0.19,6000
renewal_probability,admin_logins_last_30d,spearman,0.171,0.171,6000
renewal_probability,seat_count,spearman,0.155,0.155,6000
renewal_probability,monthly_recurring_revenue,spearman,0.148,0.148,6000
renewal_probability,avg_session_minutes,spearman,0.127,0.127,6000
renewal_probability,days_since_last_login,spearman,-0.092,0.092,6000
renewal_probability,churn_flag,spearman,-0.087,0.087,6000
renewal_probability,support_tickets_last_90d,spearman,-0.069,0.069,6000
