segment_column,segment_value,user_count,treatment_share_percent,activation_rate_percent,retained_30d_rate_percent,retained_60d_rate_percent,churn_30d_rate_percent,upgrade_rate_percent,median_sessions_first_14d,median_feature_adoption_count,median_subscription_value
company_size,enterprise,694,50.14,58.93,57.2,47.69,42.8,18.88,8.0,3.0,920.15
company_size,mid_market,2160,50.74,55.69,54.68,50.23,45.32,19.72,8.0,3.0,247.94
company_size,small,4521,50.06,51.32,51.65,46.03,48.35,16.79,7.0,3.0,78.51
company_size,solo,2569,50.49,47.76,49.55,43.67,50.45,15.3,7.0,3.0,28.96
company_size,,56,48.21,55.36,41.07,39.29,58.93,19.64,8.0,3.0,87.58
acquisition_channel,direct,1199,51.46,51.96,51.54,47.29,48.46,18.68,7.0,3.0,80.28
acquisition_channel,organic,2714,49.96,53.24,54.53,47.86,45.47,17.32,7.0,3.0,78.99
acquisition_channel,paid_search,2022,50.2,48.57,49.65,43.18,50.35,16.37,7.0,3.0,82.8
acquisition_channel,paid_social,1398,49.5,49.14,47.78,41.2,52.22,15.45,6.0,3.0,80.86
acquisition_channel,partner,986,49.9,50.81,53.55,47.46,46.45,17.24,7.0,3.0,81.72
acquisition_channel,referral,1604,51.31,56.8,54.36,51.06,45.64,18.52,7.0,3.0,83.06
acquisition_channel,,77,46.75,53.25,50.65,50.65,49.35,15.58,7.0,3.0,68.99
region,APAC,1505,51.23,51.63,49.83,46.98,50.17,17.01,7.0,3.0,81.84
region,Europe,2799,49.95,51.8,52.84,46.34,47.16,17.18,7.0,3.0,80.24
region,North America,3855,50.45,52.63,52.68,46.56,47.32,16.86,7.0,3.0,80.29
region,Other,614,50.0,50.81,50.81,45.28,49.19,19.06,7.0,3.0,79.74
region,UK,1227,49.71,50.69,51.92,45.97,48.08,17.6,7.0,3.0,84.86
industry,education,992,48.19,49.19,50.71,44.56,49.29,17.44,7.0,3.0,80.93
industry,finance,1678,50.3,51.07,52.92,45.71,47.08,17.88,7.0,3.0,79.32
industry,healthcare,1357,48.49,50.7,51.88,45.62,48.12,18.28,7.0,3.0,83.48
industry,other,1751,49.23,50.83,52.71,44.43,47.29,17.3,7.0,3.0,79.83
industry,retail,1454,53.37,52.34,51.79,46.08,48.21,16.51,7.0,3.0,81.39
industry,software,2768,51.05,54.41,51.95,49.31,48.05,16.47,7.0,3.0,81.38
engagement_band,high_engagement,3347,57.13,86.08,61.28,54.11,38.72,20.79,11.0,4.0,88.01
engagement_band,low_engagement,1398,37.91,7.22,41.42,34.98,58.58,12.45,2.0,2.0,72.82
engagement_band,moderate_engagement,5070,48.42,39.92,48.48,44.08,51.52,16.06,6.0,3.0,78.42
engagement_band,power_engagement,185,72.43,99.46,65.41,57.3,34.59,19.46,17.0,4.0,86.99
feature_adoption_band,basic_adoption,3978,48.57,47.08,49.72,45.35,50.28,16.04,7.0,3.0,79.12
feature_adoption_band,broad_adoption,635,63.15,86.93,65.2,60.31,34.8,20.94,9.0,7.0,91.0
feature_adoption_band,minimal_adoption,2080,41.01,27.74,45.29,40.77,54.71,14.81,5.5,1.0,76.76
feature_adoption_band,moderate_adoption,3307,55.79,66.16,56.7,48.56,43.3,19.38,8.0,5.0,85.06
subscription_value_band,enterprise_value,712,51.4,58.71,56.88,47.19,43.12,19.1,8.0,3.0,910.9
subscription_value_band,high_value,2150,49.63,55.3,54.05,49.72,45.95,19.4,7.0,3.0,247.5
subscription_value_band,low_value,2834,49.82,48.13,50.49,44.28,49.51,15.7,7.0,3.0,29.99
subscription_value_band,mid_value,4304,50.79,51.56,51.37,46.03,48.63,16.78,7.0,3.0,80.82
