leading_indicator,future_target,method,correlation,abs_correlation,n,time_relationship,interpretation_warning
onboarding_completion,next_month_churn_flag,pearson,-0.091,0.091,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
rolling_health_3m,next_month_churn_flag,pearson,-0.086,0.086,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
product_health_score,next_month_churn_flag,pearson,-0.085,0.085,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
feature_adoption_rate,next_month_churn_flag,pearson,-0.074,0.074,20141,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
rolling_usage_3m,next_month_churn_flag,pearson,-0.058,0.058,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
usage_frequency,next_month_churn_flag,pearson,-0.053,0.053,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
days_since_last_login,next_month_churn_flag,pearson,0.028,0.028,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
active_users,next_month_churn_flag,pearson,-0.021,0.021,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
support_tickets,next_month_churn_flag,pearson,0.016,0.016,20352,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
engagement_trend,next_month_churn_flag,pearson,-0.012,0.012,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
usage_trend,next_month_churn_flag,pearson,-0.006,0.006,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
active_users,next_month_mrr,pearson,0.768,0.768,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
onboarding_completion,next_month_mrr,pearson,0.113,0.113,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
rolling_health_3m,next_month_mrr,pearson,0.088,0.088,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
product_health_score,next_month_mrr,pearson,0.081,0.081,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
feature_adoption_rate,next_month_mrr,pearson,0.068,0.068,20141,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
rolling_usage_3m,next_month_mrr,pearson,0.06,0.06,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
usage_frequency,next_month_mrr,pearson,0.05,0.05,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
support_tickets,next_month_mrr,pearson,-0.016,0.016,20352,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
days_since_last_login,next_month_mrr,pearson,-0.011,0.011,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
engagement_trend,next_month_mrr,pearson,-0.003,0.003,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
usage_trend,next_month_mrr,pearson,-0.001,0.001,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
rolling_health_3m,next_month_product_health_score,pearson,0.825,0.825,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
product_health_score,next_month_product_health_score,pearson,0.79,0.79,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
feature_adoption_rate,next_month_product_health_score,pearson,0.743,0.743,20141,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
rolling_usage_3m,next_month_product_health_score,pearson,0.661,0.661,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
