target,variable,method,correlation,abs_correlation,n,interpretation_warning
churn_flag,renewal_probability,pearson,-0.099,0.099,22382,Same-month association only; not causal evidence.
churn_flag,renewal_probability,pearson,-0.099,0.099,22382,Same-month association only; not causal evidence.
churn_flag,product_health_score,pearson,-0.098,0.098,22382,Same-month association only; not causal evidence.
churn_flag,product_health_score,pearson,-0.098,0.098,22382,Same-month association only; not causal evidence.
churn_flag,rolling_health_3m,pearson,-0.095,0.095,22382,Same-month association only; not causal evidence.
churn_flag,onboarding_completion,pearson,-0.093,0.093,22382,Same-month association only; not causal evidence.
churn_flag,feature_adoption_rate,pearson,-0.088,0.088,21916,Same-month association only; not causal evidence.
churn_flag,days_since_last_login,pearson,0.074,0.074,22382,Same-month association only; not causal evidence.
churn_flag,rolling_usage_3m,pearson,-0.062,0.062,22382,Same-month association only; not causal evidence.
churn_flag,usage_frequency,pearson,-0.056,0.056,22382,Same-month association only; not causal evidence.
churn_flag,revenue_trend,pearson,-0.034,0.034,22382,Same-month association only; not causal evidence.
churn_flag,revenue_at_risk,pearson,0.033,0.033,22382,Same-month association only; not causal evidence.
churn_flag,revenue_at_risk,pearson,0.033,0.033,22382,Same-month association only; not causal evidence.
churn_flag,cohort_age_months,pearson,0.029,0.029,22382,Same-month association only; not causal evidence.
churn_flag,support_tickets,pearson,0.022,0.022,22120,Same-month association only; not causal evidence.
churn_flag,active_users,pearson,-0.021,0.021,22382,Same-month association only; not causal evidence.
churn_flag,engagement_trend,pearson,-0.019,0.019,22382,Same-month association only; not causal evidence.
churn_flag,monthly_recurring_revenue,pearson,-0.014,0.014,22382,Same-month association only; not causal evidence.
churn_flag,monthly_recurring_revenue,pearson,-0.014,0.014,22382,Same-month association only; not causal evidence.
churn_flag,expansion_revenue,pearson,-0.008,0.008,22382,Same-month association only; not causal evidence.
churn_flag,usage_trend,pearson,-0.004,0.004,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,active_users,pearson,0.766,0.766,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,revenue_at_risk,pearson,0.417,0.417,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,revenue_at_risk,pearson,0.417,0.417,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,expansion_revenue,pearson,0.36,0.36,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,onboarding_completion,pearson,0.114,0.114,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,rolling_health_3m,pearson,0.087,0.087,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,product_health_score,pearson,0.079,0.079,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,product_health_score,pearson,0.079,0.079,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,cohort_age_months,pearson,0.069,0.069,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,feature_adoption_rate,pearson,0.064,0.064,21916,Same-month association only; not causal evidence.
monthly_recurring_revenue,rolling_usage_3m,pearson,0.061,0.061,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,usage_frequency,pearson,0.051,0.051,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,revenue_trend,pearson,0.039,0.039,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,renewal_probability,pearson,0.033,0.033,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,renewal_probability,pearson,0.033,0.033,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,support_tickets,pearson,-0.016,0.016,22120,Same-month association only; not causal evidence.
monthly_recurring_revenue,churn_flag,pearson,-0.014,0.014,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,days_since_last_login,pearson,-0.01,0.01,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,engagement_trend,pearson,-0.005,0.005,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,usage_trend,pearson,-0.001,0.001,22382,Same-month association only; not causal evidence.
product_health_score,rolling_health_3m,pearson,0.932,0.932,22382,Same-month association only; not causal evidence.
product_health_score,feature_adoption_rate,pearson,0.896,0.896,21916,Same-month association only; not causal evidence.
product_health_score,rolling_usage_3m,pearson,0.775,0.775,22382,Same-month association only; not causal evidence.
product_health_score,usage_frequency,pearson,0.753,0.753,22382,Same-month association only; not causal evidence.
product_health_score,onboarding_completion,pearson,0.583,0.583,22382,Same-month association only; not causal evidence.
product_health_score,renewal_probability,pearson,0.489,0.489,22382,Same-month association only; not causal evidence.
product_health_score,renewal_probability,pearson,0.489,0.489,22382,Same-month association only; not causal evidence.
product_health_score,engagement_trend,pearson,0.317,0.317,22382,Same-month association only; not causal evidence.
product_health_score,days_since_last_login,pearson,-0.29,0.29,22382,Same-month association only; not causal evidence.
product_health_score,revenue_trend,pearson,0.213,0.213,22382,Same-month association only; not causal evidence.
product_health_score,cohort_age_months,pearson,0.193,0.193,22382,Same-month association only; not causal evidence.
product_health_score,active_users,pearson,0.18,0.18,22382,Same-month association only; not causal evidence.
product_health_score,usage_trend,pearson,0.157,0.157,22382,Same-month association only; not causal evidence.
product_health_score,revenue_at_risk,pearson,-0.149,0.149,22382,Same-month association only; not causal evidence.
product_health_score,revenue_at_risk,pearson,-0.149,0.149,22382,Same-month association only; not causal evidence.
product_health_score,churn_flag,pearson,-0.098,0.098,22382,Same-month association only; not causal evidence.
product_health_score,expansion_revenue,pearson,0.092,0.092,22382,Same-month association only; not causal evidence.
product_health_score,support_tickets,pearson,-0.081,0.081,22120,Same-month association only; not causal evidence.
product_health_score,monthly_recurring_revenue,pearson,0.079,0.079,22382,Same-month association only; not causal evidence.
product_health_score,monthly_recurring_revenue,pearson,0.079,0.079,22382,Same-month association only; not causal evidence.
renewal_probability,product_health_score,pearson,0.489,0.489,22382,Same-month association only; not causal evidence.
renewal_probability,product_health_score,pearson,0.489,0.489,22382,Same-month association only; not causal evidence.
renewal_probability,rolling_health_3m,pearson,0.459,0.459,22382,Same-month association only; not causal evidence.
renewal_probability,feature_adoption_rate,pearson,0.451,0.451,21916,Same-month association only; not causal evidence.
renewal_probability,onboarding_completion,pearson,0.34,0.34,22382,Same-month association only; not causal evidence.
renewal_probability,revenue_at_risk,pearson,-0.338,0.338,22382,Same-month association only; not causal evidence.
renewal_probability,revenue_at_risk,pearson,-0.338,0.338,22382,Same-month association only; not causal evidence.
renewal_probability,rolling_usage_3m,pearson,0.323,0.323,22382,Same-month association only; not causal evidence.
renewal_probability,usage_frequency,pearson,0.319,0.319,22382,Same-month association only; not causal evidence.
renewal_probability,days_since_last_login,pearson,-0.295,0.295,22382,Same-month association only; not causal evidence.
renewal_probability,revenue_trend,pearson,0.15,0.15,22382,Same-month association only; not causal evidence.
renewal_probability,engagement_trend,pearson,0.14,0.14,22382,Same-month association only; not causal evidence.
renewal_probability,cohort_age_months,pearson,-0.099,0.099,22382,Same-month association only; not causal evidence.
renewal_probability,churn_flag,pearson,-0.099,0.099,22382,Same-month association only; not causal evidence.
renewal_probability,active_users,pearson,0.089,0.089,22382,Same-month association only; not causal evidence.
renewal_probability,support_tickets,pearson,-0.077,0.077,22120,Same-month association only; not causal evidence.
