variable,cohort_age_months,active_users,feature_adoption_rate,usage_frequency,support_tickets,days_since_last_login,onboarding_completion,product_health_score,rolling_health_3m,rolling_usage_3m,engagement_trend,usage_trend,monthly_recurring_revenue,expansion_revenue,revenue_trend,renewal_probability,revenue_at_risk
cohort_age_months,1.0,0.03441840708376345,0.2139715937777623,0.3069175177838151,-0.0010298206467833468,-0.06603455561529918,0.1508426169110497,0.2586777673721202,0.32839736468950764,0.4415398230544901,-0.09026977705544499,-0.06902519385773555,0.07202338117953629,0.07956703582468935,0.09136942384198096,-0.061044297308358315,0.060600888149059985
active_users,0.03441840708376345,1.0,0.2247532439056216,0.17682626534289006,-0.005602150475627735,-0.06311840486139994,0.1731024017503688,0.2432599068060609,0.2394161991571809,0.1918040376978245,0.044893315372373524,0.0247379615517527,0.8643548482982436,0.06312612332952783,0.05608926291510409,0.12392936388144507,0.01573713698607488
feature_adoption_rate,0.2139715937777623,0.2247532439056216,1.0,0.6222566950037812,-0.032815360120698876,-0.2141519386118534,0.4933405285708276,0.8913812757426589,0.8437112981422441,0.6881754077058317,0.23481093270064016,0.07481378190751908,0.12118790372635989,0.21178833151940246,0.23850460735556755,0.40927529813033414,-0.3750351473194824
usage_frequency,0.3069175177838151,0.17682626534289006,0.6222566950037812,1.0,-0.008699298190001155,-0.17025085982233393,0.3114991889868362,0.7458327167753221,0.6842219298646186,0.8087361931887466,0.242927864166347,0.46152315378839937,0.09204161168065153,0.18565393421275164,0.21671314192033345,0.30427408074445345,-0.2776293813073806
support_tickets,-0.0010298206467833468,-0.005602150475627735,-0.032815360120698876,-0.008699298190001155,1.0,-0.006257712430511691,-0.15400417148643364,-0.07325381621830632,-0.07096276384895649,-0.020071429223829765,-0.025303085910808612,0.007844352486063008,-0.013681870385661495,-0.016792520944937547,-0.014891571384479623,-0.06859020870730226,0.06466354159349114
days_since_last_login,-0.06603455561529918,-0.06311840486139994,-0.2141519386118534,-0.17025085982233393,-0.006257712430511691,1.0,-0.10774209844439613,-0.25821885993107113,-0.23466871394088748,-0.19376278973662212,-0.08269000401679365,-0.008216813885639569,-0.030540589396586,-0.06824672813782369,-0.07596282415348901,-0.1676213140308902,0.14774449776546708
onboarding_completion,0.1508426169110497,0.1731024017503688,0.4933405285708276,0.3114991889868362,-0.15400417148643364,-0.10774209844439613,1.0,0.584792333428797,0.6413431788864684,0.3891502823947865,-0.01372521870692972,-0.012171795125672959,0.18272546442793425,0.10511801475228248,0.12207213989491858,0.39627817689482636,-0.36192795722699306
product_health_score,0.2586777673721202,0.2432599068060609,0.8913812757426589,0.7458327167753221,-0.07325381621830632,-0.25821885993107113,0.584792333428797,1.0,0.9279353254117472,0.7746079663942794,0.3001334071253116,0.14685384260544898,0.14148482333648998,0.22156692358948274,0.25885545989002434,0.46417868049479316,-0.4259158377869935
rolling_health_3m,0.32839736468950764,0.2394161991571809,0.8437112981422441,0.6842219298646186,-0.07096276384895649,-0.23466871394088748,0.6413431788864684,0.9279353254117472,1.0,0.8388076732214403,-0.0005950596802920307,-0.012429447418533515,0.15202572753065854,0.206678753755242,0.24024172323123028,0.4373527259201894,-0.3985355873970825
rolling_usage_3m,0.4415398230544901,0.1918040376978245,0.6881754077058317,0.8087361931887466,-0.020071429223829765,-0.19376278973662212,0.3891502823947865,0.7746079663942794,0.8388076732214403,1.0,-0.012930276474459552,-0.023944841521005452,0.11013845357956319,0.18308268498319488,0.21629176299076444,0.3078588750628951,-0.27843795554124473
engagement_trend,-0.09026977705544499,0.044893315372373524,0.23481093270064016,0.242927864166347,-0.025303085910808612,-0.08269000401679365,-0.01372521870692972,0.3001334071253116,-0.0005950596802920307,-0.012930276474459552,1.0,0.4959086075707794,0.0007117469398018061,0.06090983596780209,0.07321724647684819,0.1381591592144654,-0.12994855658545557
usage_trend,-0.06902519385773555,0.0247379615517527,0.07481378190751908,0.46152315378839937,0.007844352486063008,-0.008216813885639569,-0.012171795125672959,0.14685384260544898,-0.012429447418533515,-0.023944841521005452,0.4959086075707794,1.0,0.002095040088970105,0.04128677934961204,0.04289791113059311,0.06717582339596766,-0.06421817235948583
monthly_recurring_revenue,0.07202338117953629,0.8643548482982436,0.12118790372635989,0.09204161168065153,-0.013681870385661495,-0.030540589396586,0.18272546442793425,0.14148482333648998,0.15202572753065854,0.11013845357956319,0.0007117469398018061,0.002095040088970105,1.0,0.06520431271278669,0.05057466768611348,0.07692017313497479,0.07821547376221379
expansion_revenue,0.07956703582468935,0.06312612332952783,0.21178833151940246,0.18565393421275164,-0.016792520944937547,-0.06824672813782369,0.10511801475228248,0.22156692358948274,0.206678753755242,0.18308268498319488,0.06090983596780209,0.04128677934961204,0.06520431271278669,1.0,0.7941002976584945,0.09301702772527712,-0.08518124707095888
