leading_indicator,future_target,method,correlation,abs_correlation,n,time_relationship,interpretation_warning
onboarding_completion,next_month_churn_flag,spearman,-0.095,0.095,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
rolling_health_3m,next_month_churn_flag,spearman,-0.085,0.085,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
product_health_score,next_month_churn_flag,spearman,-0.084,0.084,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
feature_adoption_rate,next_month_churn_flag,spearman,-0.07,0.07,20141,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
rolling_usage_3m,next_month_churn_flag,spearman,-0.058,0.058,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
usage_frequency,next_month_churn_flag,spearman,-0.053,0.053,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
active_users,next_month_churn_flag,spearman,-0.025,0.025,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
days_since_last_login,next_month_churn_flag,spearman,0.019,0.019,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
support_tickets,next_month_churn_flag,spearman,0.017,0.017,20352,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
engagement_trend,next_month_churn_flag,spearman,-0.009,0.009,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
usage_trend,next_month_churn_flag,spearman,-0.004,0.004,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
active_users,next_month_mrr,spearman,0.866,0.866,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
onboarding_completion,next_month_mrr,spearman,0.184,0.184,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
rolling_health_3m,next_month_mrr,spearman,0.155,0.155,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
product_health_score,next_month_mrr,spearman,0.145,0.145,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
feature_adoption_rate,next_month_mrr,spearman,0.125,0.125,20141,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
rolling_usage_3m,next_month_mrr,spearman,0.111,0.111,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
usage_frequency,next_month_mrr,spearman,0.091,0.091,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
days_since_last_login,next_month_mrr,spearman,-0.03,0.03,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
support_tickets,next_month_mrr,spearman,-0.013,0.013,20352,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
