target,variable,method,correlation,abs_correlation,n,interpretation_warning
churn_flag,onboarding_completion,spearman,-0.096,0.096,22382,Same-month association only; not causal evidence.
churn_flag,product_health_score,spearman,-0.092,0.092,22382,Same-month association only; not causal evidence.
churn_flag,product_health_score,spearman,-0.092,0.092,22382,Same-month association only; not causal evidence.
churn_flag,rolling_health_3m,spearman,-0.091,0.091,22382,Same-month association only; not causal evidence.
churn_flag,renewal_probability,spearman,-0.083,0.083,22382,Same-month association only; not causal evidence.
churn_flag,renewal_probability,spearman,-0.083,0.083,22382,Same-month association only; not causal evidence.
churn_flag,feature_adoption_rate,spearman,-0.082,0.082,21916,Same-month association only; not causal evidence.
churn_flag,revenue_at_risk,spearman,0.072,0.072,22382,Same-month association only; not causal evidence.
churn_flag,revenue_at_risk,spearman,0.072,0.072,22382,Same-month association only; not causal evidence.
churn_flag,rolling_usage_3m,spearman,-0.06,0.06,22382,Same-month association only; not causal evidence.
churn_flag,usage_frequency,spearman,-0.053,0.053,22382,Same-month association only; not causal evidence.
churn_flag,days_since_last_login,spearman,0.051,0.051,22382,Same-month association only; not causal evidence.
churn_flag,revenue_trend,spearman,-0.039,0.039,22382,Same-month association only; not causal evidence.
churn_flag,active_users,spearman,-0.03,0.03,22382,Same-month association only; not causal evidence.
churn_flag,monthly_recurring_revenue,spearman,-0.026,0.026,22382,Same-month association only; not causal evidence.
churn_flag,monthly_recurring_revenue,spearman,-0.026,0.026,22382,Same-month association only; not causal evidence.
churn_flag,cohort_age_months,spearman,0.022,0.022,22382,Same-month association only; not causal evidence.
churn_flag,support_tickets,spearman,0.02,0.02,22120,Same-month association only; not causal evidence.
churn_flag,engagement_trend,spearman,-0.019,0.019,22382,Same-month association only; not causal evidence.
churn_flag,expansion_revenue,spearman,-0.015,0.015,22382,Same-month association only; not causal evidence.
churn_flag,usage_trend,spearman,-0.003,0.003,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,active_users,spearman,0.864,0.864,22382,Same-month association only; not causal evidence.
