scenario,forecast_horizon_month,projected_retention_rate,projected_churn_rate,projected_mrr,projected_revenue_at_risk,baseline_retention_rate,baseline_churn_rate,baseline_projected_mrr,baseline_revenue_at_risk,active_accounts_at_baseline,baseline_total_mrr,scenario_note,governance_note
current_trajectory,1,0.9561,0.0439,2030753.38,30989.14,0.9561,0.0439,2030753.38,30989.14,965,1842450.36,Baseline current trajectory with no operational adjustment.,Scenario estimate is assumption-dependent and not causal proof.
current_trajectory,2,0.9509,0.0491,2077459.17,32149.66,0.9509,0.0491,2077459.17,32149.66,965,1842450.36,Baseline current trajectory with no operational adjustment.,Scenario estimate is assumption-dependent and not causal proof.
current_trajectory,3,0.9457,0.0543,2123855.98,33327.14,0.9457,0.0543,2123855.98,33327.14,965,1842450.36,Baseline current trajectory with no operational adjustment.,Scenario estimate is assumption-dependent and not causal proof.
current_trajectory,4,0.9405,0.0595,2169943.81,34521.57,0.9405,0.0595,2169943.81,34521.57,965,1842450.36,Baseline current trajectory with no operational adjustment.,Scenario estimate is assumption-dependent and not causal proof.
current_trajectory,5,0.9353,0.0647,2215722.67,35732.95,0.9353,0.0647,2215722.67,35732.95,965,1842450.36,Baseline current trajectory with no operational adjustment.,Scenario estimate is assumption-dependent and not causal proof.
current_trajectory,6,0.9301,0.0699,2261192.55,36961.3,0.9301,0.0699,2261192.55,36961.3,965,1842450.36,Baseline current trajectory with no operational adjustment.,Scenario estimate is assumption-dependent and not causal proof.
improved_onboarding,1,0.9578,0.0422,2034951.65,30615.43,0.9561,0.0439,2030753.38,30989.14,965,1842450.36,Improves onboarding for lower-onboarding accounts; expected to modestly improve retention and reduce revenue risk.,Scenario estimate is assumption-dependent and not causal proof.
improved_onboarding,2,0.9543,0.0457,2086048.83,31374.24,0.9509,0.0491,2077459.17,32149.66,965,1842450.36,Improves onboarding for lower-onboarding accounts; expected to modestly improve retention and reduce revenue risk.,Scenario estimate is assumption-dependent and not causal proof.
improved_onboarding,3,0.9509,0.0491,2137028.22,32121.41,0.9457,0.0543,2123855.98,33327.14,965,1842450.36,Improves onboarding for lower-onboarding accounts; expected to modestly improve retention and reduce revenue risk.,Scenario estimate is assumption-dependent and not causal proof.
improved_onboarding,4,0.9474,0.0526,2187887.92,32856.32,0.9405,0.0595,2169943.81,34521.57,965,1842450.36,Improves onboarding for lower-onboarding accounts; expected to modestly improve retention and reduce revenue risk.,Scenario estimate is assumption-dependent and not causal proof.
improved_onboarding,5,0.9439,0.0561,2238626.01,33578.34,0.9353,0.0647,2215722.67,35732.95,965,1842450.36,Improves onboarding for lower-onboarding accounts; expected to modestly improve retention and reduce revenue risk.,Scenario estimate is assumption-dependent and not causal proof.
improved_onboarding,6,0.9404,0.0596,2289240.57,34286.89,0.9301,0.0699,2261192.55,36961.3,965,1842450.36,Improves onboarding for lower-onboarding accounts; expected to modestly improve retention and reduce revenue risk.,Scenario estimate is assumption-dependent and not causal proof.
reduced_inactivity,1,0.9582,0.0418,2035651.36,30508.65,0.9561,0.0439,2030753.38,30989.14,965,1842450.36,Reduces inactivity for accounts with login gaps; expected to improve medium-term retention resilience.,Scenario estimate is assumption-dependent and not causal proof.
reduced_inactivity,2,0.955,0.045,2087480.44,31152.69,0.9509,0.0491,2077459.17,32149.66,965,1842450.36,Reduces inactivity for accounts with login gaps; expected to improve medium-term retention resilience.,Scenario estimate is assumption-dependent and not causal proof.
reduced_inactivity,3,0.9519,0.0481,2139223.59,31776.92,0.9457,0.0543,2123855.98,33327.14,965,1842450.36,Reduces inactivity for accounts with login gaps; expected to improve medium-term retention resilience.,Scenario estimate is assumption-dependent and not causal proof.
