snapshot_month,mrr_band,active_accounts,churned_accounts,total_mrr,total_revenue_at_risk,avg_product_health_score,avg_feature_adoption_rate,avg_usage_frequency,avg_days_since_last_login,avg_support_tickets,avg_renewal_probability,monthly_churn_rate,revenue_at_risk_rate
2022-01-01,enterprise_mrr,3,0,40672.4,248.86,0.528,51.907,14.383,24.667,1.0,99.157,0.0,0.006
2022-01-01,high_mrr,8,0,20090.73,25.76,0.643,72.079,15.728,8.375,1.625,99.73,0.0,0.001
2022-01-01,low_mrr,23,1,2990.89,37.2,0.518,57.599,13.96,16.565,1.304,98.829,0.044,0.012
2022-01-01,mid_mrr,11,1,5498.23,76.81,0.499,54.41,14.165,20.545,1.909,98.283,0.091,0.014
2022-02-01,enterprise_mrr,9,0,94350.89,1637.74,0.554,60.761,13.977,8.0,1.0,99.027,0.0,0.017
2022-02-01,high_mrr,16,1,39732.22,72.3,0.642,71.536,17.251,9.812,1.6,99.834,0.062,0.002
2022-02-01,low_mrr,47,3,6084.13,65.33,0.549,60.8,14.533,18.83,1.191,98.945,0.064,0.011
2022-02-01,mid_mrr,27,1,14021.93,320.87,0.554,58.423,15.129,13.519,1.111,98.014,0.037,0.023
2022-03-01,enterprise_mrr,10,2,102567.15,1329.19,0.596,60.557,17.078,11.2,1.3,98.941,0.2,0.013
2022-03-01,high_mrr,24,1,55022.21,744.5,0.6,65.325,15.702,17.458,0.958,98.854,0.042,0.014
2022-03-01,low_mrr,67,5,7728.49,118.92,0.552,61.302,14.683,13.418,1.478,98.4,0.075,0.015
2022-03-01,mid_mrr,42,0,20841.17,280.92,0.561,63.621,14.669,13.19,1.381,98.757,0.0,0.014
2022-04-01,enterprise_mrr,12,0,101719.3,1901.11,0.543,62.019,13.771,8.583,1.167,98.139,0.0,0.019
2022-04-01,high_mrr,32,1,73454.05,424.64,0.616,69.022,16.07,17.469,0.938,99.186,0.031,0.006
2022-04-01,low_mrr,82,6,9795.78,148.01,0.565,62.763,15.41,14.805,1.432,98.421,0.073,0.015
2022-04-01,mid_mrr,56,1,27596.57,346.01,0.586,65.746,15.861,13.857,1.315,98.707,0.018,0.012
2022-05-01,enterprise_mrr,17,0,155706.68,2117.34,0.546,59.651,15.101,14.588,1.235,98.674,0.0,0.014
2022-05-01,high_mrr,36,0,94640.51,510.34,0.643,69.284,17.071,11.139,1.083,99.415,0.0,0.005
2022-05-01,low_mrr,101,4,12417.97,253.85,0.591,66.349,16.215,15.515,1.03,98.011,0.04,0.02
2022-05-01,mid_mrr,66,2,33363.69,531.62,0.588,62.741,15.881,13.682,1.4,98.475,0.03,0.016
2022-06-01,enterprise_mrr,23,0,205231.58,3081.94,0.545,62.595,14.948,20.261,1.261,98.273,0.0,0.015
2022-06-01,high_mrr,47,1,115041.38,1416.06,0.632,69.378,16.485,13.128,1.255,98.63,0.021,0.012
2022-06-01,low_mrr,123,5,14906.95,171.39,0.587,64.316,15.689,14.488,1.35,98.75,0.041,0.012
2022-06-01,mid_mrr,73,5,38109.21,569.38,0.608,65.953,16.902,11.521,1.288,98.471,0.068,0.015
2022-07-01,enterprise_mrr,24,1,222945.91,2466.14,0.533,58.664,13.971,16.917,1.217,98.81,0.042,0.011
2022-07-01,high_mrr,53,3,133767.19,1168.76,0.615,66.334,16.943,13.0,1.25,99.161,0.057,0.009
2022-07-01,low_mrr,131,8,15792.69,277.78,0.587,64.3,16.149,12.305,1.221,98.318,0.061,0.018
2022-07-01,mid_mrr,91,2,48070.66,637.57,0.596,65.35,16.487,16.121,1.303,98.655,0.022,0.013
2022-08-01,enterprise_mrr,26,0,261389.47,4036.6,0.557,61.018,15.562,17.038,1.077,98.571,0.0,0.015
2022-08-01,high_mrr,59,3,151646.65,1500.92,0.619,66.48,16.992,13.458,1.237,98.959,0.051,0.01
