snapshot_month,plan_type,active_accounts,churned_accounts,total_mrr,total_revenue_at_risk,avg_product_health_score,avg_feature_adoption_rate,avg_usage_frequency,avg_days_since_last_login,avg_support_tickets,avg_renewal_probability,monthly_churn_rate,revenue_at_risk_rate
2022-01-01,business,12,0,18013.37,86.95,0.584,63.645,14.777,6.833,2.0,98.678,0.0,0.005
2022-01-01,enterprise,4,0,45563.37,248.86,0.545,55.698,14.415,28.0,1.0,99.368,0.0,0.006
2022-01-01,growth,12,1,4046.57,30.72,0.505,57.919,14.698,19.25,1.333,99.04,0.083,0.008
2022-01-01,starter,17,1,1628.94,22.1,0.522,57.312,13.794,19.0,1.353,98.788,0.059,0.014
2022-02-01,business,21,2,41741.23,315.82,0.595,64.276,16.743,15.143,1.45,98.179,0.095,0.008
2022-02-01,enterprise,9,0,93771.85,1637.74,0.543,60.833,14.379,6.111,1.111,99.027,0.0,0.018
2022-02-01,growth,34,1,15104.1,106.89,0.572,61.295,14.817,13.441,1.118,99.051,0.029,0.007
2022-02-01,starter,35,2,3571.99,35.79,0.548,61.069,14.529,18.543,1.2,98.991,0.057,0.01
2022-03-01,business,29,1,57958.2,1017.1,0.578,61.912,16.186,16.931,1.103,98.06,0.034,0.018
2022-03-01,enterprise,10,2,101424.2,1246.24,0.622,64.791,16.403,11.9,1.2,99.089,0.2,0.012
2022-03-01,growth,45,0,20214.87,113.7,0.574,65.253,14.957,13.067,1.4,99.139,0.0,0.006
2022-03-01,starter,59,5,6561.75,96.49,0.545,60.507,14.254,13.322,1.458,98.418,0.085,0.015
2022-04-01,business,34,0,66336.43,814.56,0.595,66.448,16.08,18.588,1.03,98.461,0.0,0.012
2022-04-01,enterprise,15,1,109946.49,1665.86,0.565,65.526,14.954,11.867,1.2,98.738,0.067,0.015
2022-04-01,growth,62,0,28203.43,180.37,0.597,66.928,15.665,13.355,1.311,99.146,0.0,0.006
2022-04-01,starter,71,7,8079.35,158.98,0.558,61.73,15.338,14.282,1.414,98.225,0.099,0.02
2022-05-01,business,41,0,94746.37,849.97,0.611,66.1,16.937,10.61,1.35,98.728,0.0,0.009
2022-05-01,enterprise,19,0,158127.88,1949.18,0.568,62.136,14.801,15.158,0.947,98.976,0.0,0.012
2022-05-01,growth,76,3,33897.47,463.39,0.604,64.621,16.301,14.355,1.263,98.417,0.04,0.014
2022-05-01,starter,84,3,9357.13,150.61,0.586,66.013,15.983,15.536,1.036,98.176,0.036,0.016
2022-06-01,business,54,3,115676.78,2891.7,0.595,65.247,16.016,13.593,1.222,97.709,0.056,0.025
2022-06-01,enterprise,25,0,207052.45,1825.25,0.583,66.621,16.051,18.8,1.32,99.36,0.0,0.009
2022-06-01,growth,86,4,39752.56,383.25,0.618,66.942,16.852,10.419,1.282,98.802,0.046,0.01
2022-06-01,starter,101,4,10807.33,138.57,0.583,64.158,15.514,15.901,1.374,98.745,0.04,0.013
2022-07-01,business,61,2,126771.83,1330.11,0.588,64.899,15.718,15.852,1.183,98.923,0.033,0.01
